7zip 24.09-3
a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20250127.1-1
accountsservice 23.13.9-2
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adw-gtk-theme 5.6-1
adwaita-cursors 48.0-1
adwaita-fonts 48.2-1
adwaita-icon-theme 48.0-1
adwaita-icon-theme-legacy 46.2-3
alembic 1.8.6-3
alsa-card-profiles 1:1.4.1-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.13-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
alsa-utils 1.2.13-2
amd-ucode 20250311.b69d4b74-3
amdvlk 2025.Q1.3-1
anki 25.02-1.6
aom 3.12.0-1
appmenu-glib-translator-git 24.05.r7.g8c8e788-1
appstream 1.0.4-1
aquamarine 0.8.0-1
arc-gtk-theme-eos 20221218-2
archlinux-keyring 20250123-1
aribb24 1.0.3-4
ark 24.12.3-1
aspell 0.60.8.1-2
aspell-de 20161207.7.0-2
at-spi2-core 2.56.1-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0.3-1
ausweisapp2 2.3.0-1.4
auto-cpufreq 2.5.0-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
ayatana-ido 0.10.4-1
aylurs-gtk-shell-git 2.2.1.r11.ga6a7a0a-1
b43-fwcutter 019-6
base 3-2
base-devel 1-2
bash 5.2.037-2
bash-completion 2.16.0-1
bat 0.25.0-4
bat-extras 2024.08.24-1
bind 9.20.7-1
binutils 2.44-1
bison 3.8.2-8
blas 3.12.1-2
blender 17:4.4.0-1
blosc 1.21.6-1
blueman 2.4.4-1
blueprint-compiler 0.16.0-1
bluez 5.80-2
bluez-libs 5.80-2
bluez-utils 5.80-2
boost-libs 1.87.0-3
breeze-icons 6.12.0-1
brightnessctl 0.5.1-3
brotli 1.1.0-3
btrfs-progs 6.13-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.4-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.110-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
caffeine-ng 4.2.0-2
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
canon-cque 4.0.11-1
cantarell-fonts 1:0.303.1-2
capstone 5.0.6-1
cava 0.10.4-3
cblas 3.12.1-2
cdparanoia 10.2-9
cdrtools 3.02a09-6
cgpt-bin 15054.B-1
chaotic-keyring 20230616-1
chaotic-mirrorlist 20240724-3
chromaprint 1.5.1-10
chromium 135.0.7049.52-1
cifs-utils 7.3-1
cinnamon-desktop 6.4.1-1
clang 19.1.7-1
cli-visualizer 1.8-10
cliphist 1:0.6.1-1
cmake 4.0.0-1
cmatrix 2.0-3
colord 1.4.7-2
compiler-rt 19.1.7-1
composefs 1.0.7-1
containerd 2.0.4-1
convertlit 1.8-12
coreutils 9.6-4
cowsay 3.8.4-1
cpio 2.15-2
cppdap 1.58.0-2
cracklib 2.10.3-1
cryptsetup 2.7.5-2
cups 2:2.4.11-2
cups-filters 2.0.1-2
curl 8.12.1-1
dart-sass 1.83.4-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-units 36-4
dconf 0.40.0-3
debugedit 5.1-1
debuginfod 0.192-4
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.31-1
diffutils 3.11-2
ding-libs 0.6.2-2
discord_arch_electron 0.0.90-1
djvulibre 3.5.28-6
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.91-1
dnssec-anchors 20190629-4
docker 1:28.0.4-1
dos2unix 7.5.2-2
dosfstools 4.2-5
dotconf 1.4.1-1
double-conversion 3.3.1-1
downgrade 11.5.0-1
draco 1.5.6-3
dracut 106-1
drawio-desktop 26.1.1-1
dtc 1.7.2-3
duf 0.8.1-3
duktape 2.7.0-7
e2fsprogs 1.47.2-2
ebook-tools 0.2.2-8
edk2-ovmf 202411-1
efibootmgr 18-3
efitools 1.9.2-5
efivar 39-1
egl-wayland 4:1.1.18-1
eglexternalplatform 1.2-2
electron 1:34-1
electron32 32.3.1-3
electron34 34.3.2-1
ell 0.74-1
embree 4.3.3-1
enchant 2.8.2-2
endeavouros-branding 25.02.1.2-1
endeavouros-keyring 20231222-1
